"Comment","Toxicity","toxic","severe_toxic","obscene","threat","insult","identity_hate","source","manual_override"
"tôi có chị gái gom góp giành dụm cả đời rồi mua 1 căn chung cư qụận 12 tới giờ 4 năm chưa có quyển sổ hồng chán zzz","0","0","0","0","0","0","0","victsd_train","1"
"ôi miền trung quê tui bão cô vy chưa dứt lại đến bão nuol","0","0","0","0","0","0","0","victsd_train","0"
"thích anh chàng này từ lức xem rap việt","0","0","0","0","0","0","0","victsd_train","0"
"8 0 chứ không phải 8 2 nhá","0","0","0","0","0","0","0","victsd_train","0"
"tieu nhan nay nen co bien phap cach ly xa hoi vinh vien","1","1","0","0","0","1","0","aug_no_diacritic","1"
"thế nên nếu không phải môi trường y tế thì không nên dùng khẩu trang y tế tràn lan trong đời sống dân sinh môi trường y tế họ có quy trình xử lý vật tư y tế khẩu trang y tế găng tay bảo hộ còn đời sống dân sinh thì nên sử dụng khẩu trang vải để không xả thải bừa bãi hoặc có chăng thì còn dễ phân hủy","0","0","0","0","0","0","0","victsd_train","0"
"dù sao bầu đức cũng nhìn nhận ra ông hlv lee tae hoon cùi bắp sớm cứ xoay tua đổi hlv cây nhà lá vườn có còn hơn không","0","0","0","0","0","0","0","victsd_train","0"
"giờ năng lực và điểm số không như xưa rồi tôi vẫn thích cách tính điểm đại học ngày xưa đúng người đúng điểm","0","0","0","0","0","0","0","victsd_train","0"
"còn một kịch bản đang được bàn luận trên thế giới mạng là trump chỉ giả bệnh vừa tránh được hai cuộc tranh luận vừa lấy được sự thương hại của người dân sau hai tuần sẽ tuyên bố khỏi bệnh và tuyên bố mình đã có kháng thể sức khỏe lại tốt hơn biden đối với trump không có điều gì là không dám làm","0","0","0","0","0","0","0","victsd_train","0"
"vn dap dich rat tot đung nhu chi đao cung nhu su hop tac cua nguoi dan hi vong them mot lan nua chung minh cho cac nuoc khac thay kha nang đoi pho cac tinh huong nguy hiem quan trong co hoi đau tu nuoc ngoai va dich chuyen đau tu se co loi nhat cho vn","0","0","0","0","0","0","0","aug_no_diacritic","1"
"rất nhiều nhà xe trên các tuyến vẫn chưa hoạt động chứng tỏ họ rất thận trọng có hoạt động cũng rất ít khách nhất là tuyến huế đà nẵng chưa thể hoạt động được vl","0","0","0","0","0","0","0","aug_suffix_slang","1"
"nếu nhà bạn chỉ thỉnh thoảng mới xài tối đa 5 chỗ thì nên mua mitsu attrage bởi xe nhập giá rẻ rộng rãi bởi xe phân khúc b tiết kiệm nhiên liệu nhưng khuyết điểm duy nhất là máy yếu như phân khúc a ngoài ra bạn có thể chọn vios là một lựa chọn an toàn khác còn nếu nhà bạn thường xuyên chở đầy 5 chỗ thì bạn nên mua 7 chỗ mà lựa chọn tốt nhất hiện nay trong tầm giá là xpander nên né ertiga hay xl7 ra vì bảo dưỡng của suzuki rất tệ nên cho dù xe có tốt giá có phải chăng hơn xpander đi nữa thì mua xe suzuki cũng khá là phiêu lưu","0","0","0","0","0","0","0","victsd_train","0"
"có lẽ chúng ta đang dần trở nên ăn tất cả những thứ có chân trừ cái bàn","0","0","0","0","0","0","0","victsd_train","0"
"xin chúc mừng các anh ca đây là cái rọ chuyên án của công an mai phục để bắt rồi nhìn lực lượng mạnh như vậy là có chuẩn bị rất kỹ","0","0","0","0","0","0","0","victsd_train","1"
"thương cho cháu bé con của người em chồng","0","0","0","0","0","0","0","victsd_train","0"
"ta i sao ba n trai biê t ma không tô ca o đê no đa nh va giam giư mâ y nga y mơ i tha vl","0","0","0","0","0","0","0","aug_suffix_slang","1"
"chỉ cần lấy thau chậu đường kính khoảng 30 50cm đổ đầy nước sau đó cho các bé nín thở úp mặt xuống nước nhiều lần các bé sẽ biết lấy hơi nín thở và sẽ nhanh chóng biết bơi vl","0","0","0","0","0","0","0","aug_suffix_slang","1"
"tuyệt quá việt nam ơi mong mọi người nâng cao ý thức lên để không có đợt dịch thứ 3 trong cộng đồng","0","0","0","0","0","0","0","victsd_valid","0"
"anh vẽ đẹp lắm","0","0","0","0","0","0","0","victsd_train","0"
"có những người muốn là gã bám mà không ai cho bám thế mới hay chứ","0","0","0","0","0","0","0","victsd_train","0"
"giờ bão hòa rồi giờ thương mại điện tử phát triển thì phải nhường sân thôi cùng hàng như vậy trên online bán rẻ hơn mấy trăm đến 1triệu thì là tất yếu thôi vì phải chi phí mặt bằng nhân viên lên ăn mòn lợi nhuận","0","0","0","0","0","0","0","victsd_train","0"
"đã qua mỹ du học thì cần gì phải thi ielt dành giật số điểm để làm gì anh văn chỉ là công cụ làm việc chứ không phải cái nghề cái nghiệp vl","0","0","0","0","0","0","0","aug_suffix_slang","1"
"không ai đeo khẩu trang cả","0","0","0","0","0","0","0","victsd_train","0"
"tai nan la chuyen binh thuong cac ban nao co y ca khia gi đo thi xin hay suy nghi ti tiep dau tren khong la 1 đieu cuc ky kho đoi hoi tay ky thuat cao va con phu thuoc vao nhieu yeu to khac nhu gio hoac vung nhieu ma trong luc huan luyen thi xay ra su co đe biet ma khac phuc luc chien tranh la 1 đieu binh thuong","0","0","0","0","0","0","0","aug_no_diacritic","1"
"đai ly đanh vao tam ly nguoi mua xe lan đau kiem chac ti phu kien re tien vao hang gia gap đoi","0","0","0","0","0","0","0","aug_no_diacritic","1"
"khong biet noi gi hon chi biet chet đieng nguoi thoi sao cac be lai xau so the xin chia buon","0","0","0","0","0","0","0","aug_no_diacritic","1"
"nhà em chạy attrage 2 năm thấy xuống máy khá nhiều rồi bác mua thì nên chọn máy lớn vẫn hơn vl","0","0","0","0","0","0","0","aug_suffix_slang","1"
"atp tuyet voi luat la luat co len cac tay vot gio thi biet tai sao nole thanh lap ptpa roi đay lam tot lam atp","0","0","0","0","0","0","0","aug_no_diacritic","1"
"hy vọng lại thấy được một bale bùng nổ một tot đầy sức mạnh và tốc độ chứ k rệu rạc như bây giờ từ lâu đã mất niềm tin vào mou ông bây giờ chỉ có nâng tầm các đội bóng hạng trung với lối đá tử thủ đầy dũng cảm thôi chứ cho cầm đội 1 tỷ bảng cũng không ăn thua vl","0","0","0","0","0","0","0","aug_suffix_slang","1"
"chất lượng và tiến độ là vấn đề mọi người quan tâm nhất","0","0","0","0","0","0","0","victsd_train","0"
"anh tùng đặt vấn đề tôi không hiểu tại sao ngân hàng có thể mở thẻ tín dụng chỉ với một chiếc chứng minh thư mà không cần sự có mặt cũng như chữ ký của tôi như vậy quy trình của ngân hàng lỏng lẻo tới vậy hay sao theo tôi trong trương hợp này ngân hàng rất chặt chẽ theo dõi biết rất rõ điểm tín dụng và khả năng tài chánh của anh đảm bảo anh sẽ thanh toán đủ các khoản chi từ người khác đảm bảo nguyên tắc vàng quyền lợi ngân hàng là trên hết vl","0","0","0","0","0","0","0","aug_suffix_slang","1"
"lại nghĩ đến cảnh hạn hán thấy xót xa rừng đầu nguồn hồ điều hòa kênh mương thủy lợi ơi","0","0","0","0","0","0","0","victsd_train","0"
"thi ch nga i tô ng thô ng donald trump la m viê c na y","0","0","0","0","0","0","0","victsd_train","0"
"san choi nay la qua lon voi minamino đang tiec cho pha bo lo","0","0","0","0","0","0","0","aug_no_diacritic","1"
"vậy các chuyến bay thương mại chở người cách ly có 5 7 ngày liệu có an toàn không lo lắng vl","0","0","0","0","0","0","0","aug_suffix_slang","1"
"các chàng trai cô gái cấp 3 hãy ngăn bố mẹ đọc dc tin này nếu ko các bạn sẽ có những bữa cơm ngập trong câu chuyện con nhà người ta","0","0","0","0","0","0","0","victsd_train","1"
"mỹ mercedes lexus audi bmw khai láo chứ bmw đứng thứ 4 vn lexus mercedes audi bmw mình đã trừ các dòng xe phổ thông của mercedes ra khỏi bảng tính thân","0","0","0","0","0","0","0","victsd_test","1"
"16 năm rồi vợ chồng tôi mơ ước có một đứa con sao mà tủi thân và uất ức quá","0","0","0","0","0","0","0","victsd_train","1"
"mấy tuần lộn xộn vậy là tạm ổn điều mừng nhất là hàng thủ không để thủng lưới alba dù kiến tạo cho fati lập công nhưng trận này anh ít dâng cao tạo nên sự chắc chắn cánh trái coutinho tạm ổn giezmann vẫn như xưa chưa sắc bén messi vẫn tuyệt vời như xưa cố lên barca","1","1","0","1","0","1","0","victsd_train","0"
"hay qua vâ y la tê t na y mi nh vê quê ngoa i bă c se vô cu ng thuâ n lơ i nhưng ma thôi mi nh đi ma y bay thuâ n lơ i va nhanh cho ng hơn","0","0","0","0","0","0","0","victsd_train","0"
"bài hit thì vô khối giai đoạn 1998 2001 tôi nhớ nhất ngoài siêu hot đi về nơi xa bước chân lẻ loi và phiêu du là còn lại một mình tình quay gót hôn môi xa cuộc tình trong cơn mưa bóng dáng thiên thần kiếp rong buồn đợi chờ phố xưa email tình yêu biệt khúc chờ nhau chờ trên tháng năm các bài song ca với cẩm ly cũng đừng quên dòng máu lạc hồng giai đoạn 2002 2003 dòng sông băng tình khúc vàng đêm tình yêu lỡ hẹn giai đoạn 2004 mãi mãi một tình yêu sao đổi ngôi nắng sân trường anh phải làm sao chim trắng mồ côi giai đoạn 2005 2006 con sóng yêu thương trăng vỡ nội tôi anh vẫn đợi chờ giai đoạn 2006 2009 thiên sứ tình yêu hát ru tình yêu cắn môi tình còn đau lời xin lỗi sau đó ngôi sao bay ước mơ ngọt ngào liên khúc chuyện ba ngườivề sau phong độ anh xuống nhưng cũng vớt được yêu nhau bao lâu biển người nhân gian một số ca khúc dân ca như anh ba khía ngốc ơi nói chung nhiều lắmcá nhân tôi thấy bước chân lẻ loi phiêu du hôn môi xa là 3 ca khúc đẹp nhất","1","1","0","1","0","1","0","victsd_train","0"
"thiên tài mà hôi pen là không tính đâu nhé cules","1","1","0","0","0","0","0","victsd_train","0"
"em ơi phụ nữ việt nam chuộng bờ môi kiểu của em lắm sao em lại che đi thế kia","0","0","0","0","0","0","0","victsd_train","0"
"sang serie a cũng tròn 2 mùa bóng ngoài giải cầu thủ marketting lập kỷ lục sút penty nhiều nhất juve thì mọi thứ là con số 0 tròn xoe ghi bàn thì kém xa bô lão kém xa cầu thủ dự bị liga c1 thì tắt điện thua lũ trẻ ajax thua một lyon chưa bao giờ vô địch c1 tính cả 2 mùa ở liga đu bám real thì 4 mùa giải ghi 1 bàn ở ngoài vòng cấm sút hàng rào 1 bàn qua người 1 lần nhưng fan thì lấp liếm nhào vô bla barca si thua bayern khổ si thua nhà vô địch giành cú ăn 3 vĩ đại chứ có thua lyon thứ 10 ligue one đâu","1","1","0","0","0","0","0","victsd_train","0"
"mừng quá chị minh tuyết đã về việt nam sau 1 năm năm cách ly vì dịch covid","0","0","0","0","0","0","0","victsd_train","0"
"bài viết khách quan và chính xác","0","0","0","0","0","0","0","victsd_test","0"
"trung thành tuyệt đối","0","0","0","0","0","0","0","victsd_valid","0"
"thế thì lại thua sấp mặt a cu lùn lại giận dỗi và phải đòi ra đi tiếp thôi haha","0","0","0","0","0","0","0","victsd_train","0"
"sao ba n na y gia u dư vâ y đu ng la co ta i","0","0","0","0","0","0","0","victsd_train","0"
"quá đau xót chia buồn cùng gia đình","0","0","0","0","0","0","0","victsd_test","0"
"video hay quá chúc quan hệ 2 nước phát triển và bến chặt hơn nữa","0","0","0","0","0","0","0","victsd_train","0"
"cái quan trọng bây giờ là cứu chữa những người bị bệnh tịch thu tất cả sản phẩm lại dù nguyên nhân ra sao nhưng xét nghiệm có độc tố trong sản phẩm của mình là lỗi của mình khắc phục sự cố là điều quan trọng cái tâm sẽ thắng cố lên","0","0","0","0","0","0","0","victsd_train","0"
"1 tam giác ở xa trên trời","0","0","0","0","0","0","0","victsd_train","0"
"con mình thời mới hai tuổi đi học có lần bị bạn cắn oét bụng gần chỗ rốn tới chảy máu thâm tím hơn hai tháng trời mới lành sẹo có lần thì bị bạn lấy tay chọc vào gần mắt may ko bị mù luôn thế nhưng m chưa bao giờ dạy con phải đánh bạn cắn bạn chỉ bảo con là nếu bạn đánh thì con mới được đánh lại đánh ko được thì mới mách cô giáo chứ con ko bao giờ đc chủ động đánh hay cắn các bạn ko biết có phải do bé nhà mình hiền nhút nhát quá hay ko mà đi học chuyên gia bị bắt nạt toàn bị bạn đánh năm ngoái học trg kia còn bị cô bảo mẫu cắn tay thâm tím bầm máu tới mấy lần mà lúc đầu về bé kể m còn ko tin con may mà sau lên nói chuyện rồi chuyển trường rồi","1","1","0","1","0","1","0","victsd_train","0"
"ở nhiều quốc gia trẻ em được học bơi rất sớm hồ bơi cũng khá đơn giản chỉ là những hồ bơi bằng vải bạt được bơm căng lên hồi tôi còn ở úc năm 2001 tôi thấy hầu hết trẻ ở các lớp mẫu giáo đều có thể bơi lội được","1","1","0","1","0","1","0","victsd_train","0"
"giảm số lượng bài kiểm tra chứ không phải bỏ nhé chỉ có văn và toán giảm còn các môn khác hầu như không giảm","1","1","0","1","0","1","0","victsd_train","0"
"hú hồn thấy quảng cáo trên facebook hấp dẫn quá định mua dùng thử giá khá cao nên thấy tiếc tiền dành thôi","0","0","0","0","0","0","0","victsd_test","0"
"nếu bây giờ bạn bán vàng và gửi tiền tiết kiệm bạn vừa bảo toàn được lợi nhuận 37 5 chênh lệch giá vàng và thu được lãi định kỳ hàng năm trên 7 sau 10 năm bạn sẽ có được tài sản là 2 00 tỷ đồng 0 75 tỷ đồng 2 65 tỷ đồng 5 40 tỷ đồng nếu bây giờ bạn đốt số tiền 2 75 tỷ đồng cho 10 lô đất ở bình dương 10 năm sau bạn có thể rao bán với giá 5 40 tỷ đồng nhưng sẽ không ai mua bạn nên tìm hiểu những người mua đất ở nhơn trạch 20 năm trước đất thành phố mới của 10 năm trước","0","0","0","0","0","0","0","victsd_valid","0"
"đã đến lúc cách ly người sử dụng ma túy","0","0","0","0","0","0","0","victsd_test","0"
"thương thằng bé quá mỏng con sớm bình phục con chó này nó đã tự kết liễu đời nó rồi tôi khuyên ai có ý định nuôi loại chó này nó không phù hợp nuôi trồng gia đình đâu đây là loại chó nghiệp vụ chỉ có thể nuôi để huấn luyện chuyên nghiệp mà thôi nó khác xa con chó ta mà chúng ta đang nuôi","0","0","0","0","0","0","0","victsd_valid","0"
"nên cảnh báo tại chổ và truyền thông để mọi người nhất là khách du lịch biết nếu dừng xe tại điểm nóng để làm việc gì đó thì xác định","0","0","0","0","0","0","0","victsd_valid","0"
"chúc mừng barca có được chiếc cup đầu mùa vậy là dù thế nào đi nữa mùa giải này barca vẫn ko phải lo trắng tay rồi nhé v","0","0","0","0","0","0","0","victsd_valid","0"
"đã là người việt nam thì tôi tin rằng 100 dân số đều tự hào khi đất nước vượt qua hai lần bùng phát dịch một cách ngoạn mục việt nam trong trái tim tôi","0","0","0","0","0","0","0","victsd_valid","0"
"jollibee ngon nhất thịt gà khi ăn sẽ không khô như các hãng khác và đặc biệt là tùy biến hương vị theo vùng miền miền nam thì có vị đậm đà có xu hướng ngọt thanh trung thì thiên về cay và mặn còn bắc thì vị vừa không mặn không ngọt điều đó cho thấy jollibee rất am hiểu thị trường vn","1","1","0","1","0","1","0","victsd_valid","0"
"chung thì chung chứ có sao đâu cùng lắm là về nhì vẫn vào vòng trong nha","0","0","0","0","0","0","0","victsd_train","0"
"mua fadil đủ lăn bánh nếu thấy đắt thì đi morning i10 dư ít tiền đổ xăng gia đình đi xe nào chả được đừng nghe fan nhât hàn chém nhau cho mệt","0","0","0","0","0","0","0","victsd_train","0"
"phiếu phổ thông hàng triệu phiếu cũng không có tác dụng gì chủ yếu là 3 trăm mấy phiếu đại cử tri mà trúng thì mới đắc cử tổng thống","0","0","0","0","0","0","0","victsd_train","0"
"nếu so với attrage thì soluto ổn hơn về thiết kế đó bác cục máy 1 4l đi lâu dài thì cứ 1 4 cho chắc","0","0","0","0","0","0","0","victsd_train","0"
"hoàn toàn đồng ý","0","0","0","0","0","0","0","victsd_train","0"
"thiết kế đẹp mong sao chất lượng như những cây cầu của pháp sử dụng hàng trăm năm không hư","0","0","0","0","0","0","0","victsd_train","0"
"đêm nay mỹ sẽ cán mốc 500000 người nhiễm","0","0","0","0","0","0","0","victsd_train","0"
"cái tóc trên đầu không quyết định tri thức của cậu ấy nhìn cậu khá bảnh trai và tóc cũng không khó coi vậy tại sao phải cấm cậu đi học đây là 1 quyết định cứng nhắc thiếu tôn trọng tự do cá nhân của mỗi người","1","1","0","0","0","0","0","victsd_valid","0"
"bhnt nên mua càng trẻ càng tốt em nhé nên chia ngân sách ra 1 phần mua bhnt 1 phần đầu tư tích luỹ thông qua các quỹ của cty bhnt thọ đó quản lý và tích luỹ lại 10 năm sau em sẽ thấy 1 con số không ngờ","1","1","0","1","0","1","0","victsd_train","0"
"messi góp 1 siêu phẩm hôi pen trong thế trận 1 chiều để lấy thống kê quen thuộc","0","0","0","0","0","0","0","victsd_valid","0"
"khoan bàn về chất lượng có đt xe máy ôtô tq giá rẻ cạnh tranh các hãng khác sẽ xem lại giá có lợi cho khách hàng","1","1","0","1","0","1","0","victsd_train","0"
"không thấy con trai và vk kiêm chị dâu của con trai biden nhỉ","0","0","0","0","0","0","0","victsd_train","0"
"caligula được mệnh danh là hoàng đế điên đấy các bạn ạ mặc dù ổng có tiếng là ưa nhìn thật","1","1","0","1","0","1","0","victsd_valid","0"
"ôi con bọ đáng yêu quá","0","0","0","0","0","0","0","victsd_train","0"
"aterta có chuyên môn thật sự theo pep nên sang nước đó arsenal do ít tiền chứ đá tốt dần lên chúc mừng pháo thủ","0","0","0","0","0","0","0","victsd_valid","0"
"ko đùa được với những thực phẩm ăn vào miệng mong các nhà sản xuất hãy thận trọng hơn","1","1","0","1","0","1","0","victsd_train","0"
"xin chia buồn với gia đình các cháu những ao hồ nên cẩn thận rào lại những đứa bé rất hiếu động tò mò dể xảy ra chuyện lắm","1","1","0","1","0","1","0","victsd_valid","0"
"không còn gì để nói cũng 4 lần vô địch châu âu nào có kém gì ai cái gì cũng vậy cao trào rồi sẽ đến thoái trào để mở ra một kỷ nguyên mới điển hình là liverpool","0","0","0","0","0","0","0","victsd_test","0"
"nhớ mãi bộ phim ông đóng vĩnh biệt và xin cảm ơn nhiều về những c ốnghiến của ông","0","0","0","0","0","0","0","victsd_train","0"
"khâu kiểm tra vệ sinh an toàn thực phẩm có vấn đề lớn quá rồi mong sao những nạn nhân sớm bình phục","1","1","0","1","0","1","0","victsd_train","0"
"chuyện thật như đùa ấy","0","0","0","0","0","0","0","victsd_train","0"
"hy vọng sabeco làm tới nơi tới chốn để để người tiêu dùng chúng tôi không phải sử dụng hàng nhái ủng hộ sabeco thưa kiện ra toà để đòi lại sự công bằng cho hãng và cho người tiêu dùng","0","0","0","0","0","0","0","victsd_valid","0"
"có tiền đó xong rồi làm gì còn đâu đội bóng hùng mạnh ajax làm điên đảo châu âu real ac bayern ajax từng là tứ trụ của châu âu nay chỉ còn real bayer giữ đc phong độ","0","0","0","0","0","0","0","victsd_train","0"
"người lớn đánh người lớn đã là tội hình sự rồi người lớn đánh trẻ em tội nặng thêm phải xử tên côn đồ này cho thật nghiêm cô giáo thì chỉ có thể phân xử cho 2 đứa con nít chứ sao có thể phân xử cho tên côn đồ được việc để một tên côn đồ được vào lớp học là lỗi của cả hiệu trưởng và hệ thống bảo vệ của trường tại sao chỉ có cô giáo chịu trách nhiệm","1","1","0","1","0","1","0","victsd_train","0"
"nhìn bà không thể không nhớ đến các phim phù thủy","1","1","0","1","0","1","0","victsd_train","0"
"tôi yêu bạn","0","0","0","0","0","0","0","victsd_test","0"
"sáng thứ bảy thấy các bé lớp 1đeo cặp đi học thêm mặt vẫn ngây ngủ tay mang thức ăn chúng ta đang đánh cắp tuổi thơ của các cháu khi nào hết cảnh này thì giáo dục thành công","1","1","0","1","0","1","0","victsd_train","0"
"3 0 barca ưu trội hơn nhưng chơi không mạnh mẽ cuốn hút và hấp dẫn nữa messi không là tâm điểm nhưng chơi vẫn hay ghi dấu bằng những pha đột phá trong 2 bàn sau thể lực cả đội fcb chưa đạt yếu nhất là messi thôi chúc mừng barca mong đội chơi mạnh mẽ hơnthôi chúc mừng","0","0","0","0","0","0","0","victsd_test","0"
"sáng nay bầu trôi mình vậy đó 10h sáng mà như khuya","0","0","0","0","0","0","0","victsd_train","0"
"ở mỹ người ta không đánh bắt ven bờ không bắt cá nhỏ cho nên cá rất nhiều và sẽ còn rất nhiều con cá trê cỡ này đang sống","0","0","0","0","0","0","0","victsd_test","0"
"ác nhân ắt sẽ có ác báo","0","0","0","0","0","0","0","victsd_train","0"
"bạn mua bhnt là bạn phòng ngừa rủi ro nếu không may có rủi ro xảy ra thì người thân hoặc chính bạn cũng có khoản tiền để chi phí mua lúc còn trẻ mức phí sẽ thấp hơn bạn có nhiều gói để lựa chọn lắm bệnh hiểm nghèo chi phí nằm viện trước khi mua hãy yêu cầu tư vấn kỹ bạn sẽ được những quyền lợi gì và bạn nên hỏi thêm 1 vài cty bhnt để hiểu rõ hơn trước khi mua","0","0","0","0","0","0","0","victsd_valid","0"
"mình thấy cách này rất hay vừa cho trẻ biết giá trị của lao động vừa cho bé không bị lậm vào thiết bị công nghệ","0","0","0","0","0","0","0","victsd_train","0"
"thành công trọn vẹn","0","0","0","0","0","0","0","victsd_train","0"
